"","Scenario","Time","Replicate","AGB_M","SRR_M","Min_rate_M","Fungi_M","GF_M","Lichen_M","Aesthetic_M","Recreation_M","Fungi_val_M","Carbon_stock_M","Nitrogen_stock_M","Timber_M","Tree_richness_M"
"420","Scenario 2",42,3,100.224209073047,4.07268266520231,23.3411228432051,1.87945632134357,17.6709802282345,28.5295945221276,3.79696472227721,3.38628896742008,0.460803781877899,66.2349679104867,523.218977239137,143.123738914998,27.4244318478204
"421","Scenario 2",43,1,101.078299212325,4.07467316429323,23.3115321364512,1.88223038526655,17.6315572156143,28.5639786107766,3.7989868234521,3.39133507972978,0.462550630196391,66.7888316582915,523.223737198101,144.301661044724,27.4610596233764
"422","Scenario 2",43,2,101.068510267601,4.07465351486116,23.3116489164854,1.88215778339664,17.6326575320095,28.5630899652891,3.79894784691658,3.39121762634456,0.462565910641418,66.7772609587731,523.206617864409,144.259705863221,27.4422979951661
"423","Scenario 2",43,3,101.090272156631,4.07470261865562,23.3110083371823,1.88224927251814,17.6313230945331,28.5642198560783,3.79900744319718,3.3913772736075,0.462592394950895,66.7909137990993,523.212827111335,144.167624371713,27.4251273669385
"424","Scenario 2",44,1,101.931701465807,4.07666376646719,23.2818453545862,1.88498021011876,17.592516624909,28.5980700852258,3.80099883022054,3.39634664868471,0.464315149798284,67.3424839856723,523.207036914677,145.316009287738,27.4612943610787
"425","Scenario 2",44,2,101.924104014884,4.07664912867111,23.2818929371883,1.88491596100418,17.5934994631949,28.5972902665071,3.80096557515476,3.39624521108814,0.46433367381715,67.3344620681261,523.227572116638,145.288788091641,27.4600858966111
"426","Scenario 2",44,3,101.933507129071,4.07666957380644,23.2816704136109,1.8849654510483,17.5927511455492,28.5978762984167,3.80099496481958,3.39632389309527,0.464337213364069,67.3430243518631,523.20003129836,145.173640875694,27.4234059571212
"427","Scenario 2",45,1,101.684204004451,4.07608036877399,23.2908834306136,1.88426136839929,17.6024624321743,28.5889103439381,3.80044408399551,3.39497020614527,0.463743030414581,67.3931713237468,523.080894959225,145.916903391836,27.4662064648502
"428","Scenario 2",45,2,101.641192293648,4.07598298768661,23.2921726322458,1.88408478509906,17.6050488597922,28.5867585727438,3.80032818069973,3.39466707120516,0.463686085172193,67.3702073429431,523.08256333571,145.880855128104,27.4589209020883
"429","Scenario 2",45,3,101.697706012763,4.07611285348782,23.2903441273122,1.88429209864151,17.6020460785487,28.5892929177165,3.80047093500594,3.39503039450808,0.463782062762731,67.4017085427136,523.057016918503,145.775314107871,27.6047625671611
